
API_COUNTY|API_NUMBER|SUFFIX|WELL_NAME                     |WELL_NO|  OPER_NO|OPER_SUFFIX|OPERATOR                                |ME|  SECTION|TWP|RAN|Q4|Q3|Q2|Q1| LATITUDE|LONGITUDE|OTC_COUNTY|OTC_LEASE_NO|OTC_SUB_NO|OTC_MERGE|  POOL_NO|CODE    |FORMATION                               |OFB|ALLOWABLE_CLASS|ALLOWABLE_TYPE| PURCH_NO|PURCHASER                               |PURCH_SUFFIX|OFB|     YEAR|      JAN|      OIL|      GAS|      FEB|      OIL|      GAS|      MAR|      OIL|      GAS|      APR|      OIL|      GAS|      MAY|      OIL|      GAS|      JUN|      OIL|      GAS|      JUL|      OIL|      GAS|      AUG|      OIL|      GAS|      SEP|      OIL|      GAS|      OCT|      OIL|      GAS|      NOV|      OIL|      GAS|      DEC|      OIL|      GAS     
         7|       192|      |SARGENT                       | A-1   |     2153|          2|TEXACO, INC.                            |CM|        7|05N|27E|  |  |SE|NW|36.915712|-100.1804|         7|       10843|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     1641|PANHANDLE EASTERN PIPELINE COMPANY      |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |       97|        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |         |       11|         |         |       12|         |              
         7|       209|A     |MIKE ALBERT                   | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        9|05N|26E|  |NW|NW|SE|36.913114|-100.2493|         7|       19891|         1|        0|         |451KRDR |KRIDER                                  |N  |UG             |R             |     1641|PANHANDLE EASTERN PIPELINE COMPANY      |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      398|        5|         |       46|        6|         |      284|        7|         |       78|        8|         |       73|        9|         |       98|       10|         |      237|       11|         |      224|       12|         |              
         7|       220|      |CONNER UNIT                   | 1     |    10027|          0|LATIGO OIL AND GAS INC                  |CM|        5|02N|25E|  |  |SW|NE|36.668823|-100.3867|         7|       17643|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |      373|       10|         |      353|       11|         |      258|       12|         |      255     
         7|       250|      |OTTO BARBY                    | 1-34  |    14829|          0|PRENTICE NAPIER AND GREEN INC           |CM|       34|05N|26E|  |  |SE|NW|36.857802|-100.2346|         7|       28829|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |      765|        8|         |     1193|        9|         |     1146|       10|         |     1003|       11|         |      914|       12|         |      824     
         7|       251|      |GULF COAST WESTERN HINKLE     | 1     |    19608|          0|RANGE PRODUCTION COMPANY                |CM|        9|05N|24E|  |  |SW|NE|36.915932|-100.4649|         7|       10833|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |R             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |    26860|        5|         |    29666|        6|         |         |        7|         |         |        8|         |         |        9|         |      180|       10|         |      504|       11|         |      388|       12|         |      287     
         7|       251|      |GULF COAST WESTERN HINKLE     | 1     |    19608|          0|RANGE PRODUCTION COMPANY                |CM|        9|05N|24E|  |  |SW|NE|36.915932|-100.4649|         7|       10833|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |R             |     9078|PRAIRIE STATES GAS COMPANY              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |    26004|        7|         |    23083|        8|         |    18192|        9|         |    11878|       10|         |    15910|       11|         |    14551|       12|         |    11408     
         7|       260|      |BASS W E                      | 1     |    17441|          0|CHESAPEAKE OPERATING INC                |CM|       14|03N|24E|  |  |SE|SE|36.719583|-100.4362|         7|       30876|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     1281|        5|         |      369|        6|         |     4792|        7|         |     2677|        8|         |     3758|        9|         |     4560|       10|         |     6009|       11|         |     5286|       12|         |     6483     
         7|       272|      |NINA MAYO                     | 1-18  |    20645|          0|SUNDOWN ENERGY INC                      |CM|       18|04N|25E|  |  |SW|NE|36.813842|-100.4047|         7|       28834|         0|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |     3581|       10|         |     1318|       11|         |     5554|       12|         |     4247     
         7|       273|      |FRANK HINKLE                  | 1     |    18104|          0|EDINGER ENGINEERING INC                 |CM|       18|05N|24E|  |SE|SE|NW|36.900502|-100.5044|         7|       10830|         0|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |S             |     1641|PANHANDLE EASTERN PIPELINE COMPANY      |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |       15|        5|         |     1103|        6|         |         |        7|         |      775|        8|         |         |        9|         |      946|       10|         |      105|       11|         |      142|       12|         |              
         7|       274|      |RYSER                         | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        9|03N|28E|  |  |NE|SW|36.737109|-100.0487|         7|       19880|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |R             |     1459|ANR PIPELINE CO                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |     2628|       11|         |     2253|       12|         |              
         7|       274|      |RYSER                         | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        9|03N|28E|  |  |NE|SW|36.737109|-100.0487|         7|       19880|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |R             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     2708|        5|         |     2346|        6|         |     2480|        7|         |     2449|        8|         |     2476|        9|         |     2755|       10|         |     2642|       11|         |     2265|       12|         |     2325     
         7|       274|      |RYSER                         | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        9|03N|28E|  |  |NE|SW|36.737109|-100.0487|         7|       19880|         1|        0|         |406HOVR |HOOVER              /SAND/              |N  |UG             |I             |     1459|ANR PIPELINE CO                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |     6580|       11|         |     3414|       12|         |              
         7|       274|      |RYSER                         | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        9|03N|28E|  |  |NE|SW|36.737109|-100.0487|         7|       19880|         1|        0|         |406HOVR |HOOVER              /SAND/              |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     5736|        5|         |     2935|        6|         |     3142|        7|         |     3984|        8|         |     5059|        9|         |     3926|       10|         |     6616|       11|         |     3433|       12|         |     2412     
         7|       332|      |COLE                          | 1     |    16896|          0|CHAPARRAL ENERGY LLC                    |CM|        3|03N|24E|  |  |SE|NW|36.755832|-100.4633|         7|       30059|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |       80|        6|         |      182|        7|         |    13908|        8|         |      372|        9|         |    14055|       10|         |     2373|       11|         |     5131|       12|         |     9224     
         7|       338|      |KERNS                         | 1-36  |     5415|          0|SAMSON RESOURCES COMPANY                |CM|       36|02N|20E|  |  |NE|SW|36.591911|-100.8597|         7|        8528|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     1554|        5|         |     1730|        6|         |         |        7|         |     2559|        8|         |         |        9|         |         |       10|         |     6477|       11|         |     4903|       12|         |     1253     
         7|       378|      |FICKLE UNIT                   | 1-A   |     1079|          0|EXXON MOBIL CORPORATION                 |CM|       16|03N|25E|  |  |SW|NE|36.726823|-100.3686|         7|       33435|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |     2182|        8|         |     1387|        9|         |     1279|       10|         |      355|       11|         |     3912|       12|         |     7988     
         7|       403|      |ROBERTSON                     | 1     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       16|02N|28E|  |NE|NE|SW|36.636506|-100.0476|         7|        6478|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     2300|        5|         |     2701|        6|         |     2886|        7|         |     2748|        8|         |     2957|        9|         |     3697|       10|         |     6162|       11|         |     5139|       12|         |     4458     
         7|       427|      |L.J. BARBY B                  | 2     |    19430|          0|PRIDE ENERGY COMPANY                    |CM|       27|04N|25E|  |SW|SE|NW|36.783912|-100.3563|         7|       19900|         1|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |      593|        7|         |     2336|        8|         |     1304|        9|         |     1167|       10|         |     1418|       11|         |     1006|       12|         |     1392     
         7|       475|      |OTTO C BARBY-E                | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|       31|04N|28E|  |SE|NW|SE|36.765315|-100.0791|         7|       19906|         0|        0|         |406HOVR |HOOVER              /SAND/              |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     1870|        5|         |     3484|        6|         |     3457|        7|         |     3431|        8|         |     2867|        9|         |     3985|       10|         |     2962|       11|         |     3587|       12|         |     4722     
         7|       494|      |E ATKINS                      | 1     |    17441|          0|CHESAPEAKE OPERATING INC                |CM|       25|03N|25E|  |  |NW|SE|36.694157|-100.3146|         7|       30083|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |      688|EL PASO NATURAL GAS CO                  |           1|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |      736|        6|         |      785|        7|         |         |        8|         |         |        9|         |         |       10|         |      131|       11|         |      892|       12|         |     4099     
         7|     20025|      |BARBY RANCH UNIT              | 2-44  |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        6|03N|27E|  |  |SE|SE|36.748357|-100.1839|         7|       19950|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     1459|ANR PIPELINE CO                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |      244|       11|         |     5770|       12|         |              
         7|     20025|      |BARBY RANCH UNIT              | 2-44  |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        6|03N|27E|  |  |SE|SE|36.748357|-100.1839|         7|       19950|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      351|        5|         |         |        6|         |         |        7|         |         |        8|         |      118|        9|         |      140|       10|         |      245|       11|         |     5803|       12|         |     7407     
         7|     20025|      |BARBY RANCH UNIT              | 2-44  |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        6|03N|27E|  |  |SE|SE|36.748357|-100.1839|         7|       19950|         1|        0|         |999HRTW |HOOVER-TONKAWA                          |N  |UG             |S             |     1459|ANR PIPELINE CO                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |     2284|       11|         |     2440|       12|         |              
         7|     20025|      |BARBY RANCH UNIT              | 2-44  |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        6|03N|27E|  |  |SE|SE|36.748357|-100.1839|         7|       19950|         1|        0|         |999HRTW |HOOVER-TONKAWA                          |N  |UG             |S             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     4642|        5|         |         |        6|         |         |        7|         |         |        8|         |      560|        9|         |      529|       10|         |     2296|       11|         |     2453|       12|         |    12343     
         7|     20060|      |GHEEN                         | A-2   |    16198|          0|B & G PRODUCTION INC                    |CM|       14|01N|24E|  |  |SW|NE|36.552816|-100.4407|         7|       21370|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     3467|        5|         |     4944|        6|         |     4519|        7|         |     3826|        8|         |     1298|        9|         |         |       10|         |         |       11|         |         |       12|         |     1732     
         7|     20060|      |GHEEN                         | A-2   |    16198|          0|B & G PRODUCTION INC                    |CM|       14|01N|24E|  |  |SW|NE|36.552816|-100.4407|         7|       21370|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |    15094|PHILLIPS 66 NAT GAS CO                  |           3|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |        2|        8|         |         |        9|         |         |       10|         |         |       11|         |         |       12|         |              
         7|     20072|      |FICKEL C                      | 2     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       12|03N|24E|  |  |NW|SE|36.737711|-100.4227|         7|       13009|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |S             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |     8395|        8|         |     8301|        9|         |     2963|       10|         |     1471|       11|         |     1310|       12|         |     2175     
         7|     20072|      |FICKEL C                      | 2     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       12|03N|24E|  |  |NW|SE|36.737711|-100.4227|         7|       13009|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |S             |     1682|SCURLOCK PERMIAN CORP.                  |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |         |       11|      181|         |       12|         |              
         7|     20102|      |MILLER  AA                    | 1     |    19626|          0|HULEN OPERATING COMPANY                 |CM|       33|03N|24E|  |SE|NE|NE|36.686037|-100.4711|         7|       34943|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      360|        5|         |         |        6|         |      954|        7|         |     2229|        8|         |      743|        9|         |      925|       10|         |      848|       11|         |      319|       12|         |      628     
         7|     20109|      |MCFARLAND                     | 1     |    19447|          0|OIL PRODUCERS INC OF KANSAS             |CM|       32|05N|23E|  |  |SW|SW|36.850551|-100.6004|         7|       38128|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |I             |     1641|PANHANDLE EASTERN PIPELINE COMPANY      |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |     1175|        6|         |      103|        7|         |     1722|        8|         |     3086|        9|         |     1271|       10|         |     1127|       11|         |     3856|       12|         |              
         7|     20117|      |EDNA NINE                     | 1     |    20911|          0|JEC OPERATING LLC                       |CM|       26|02N|28E|S2|N2|S2|NW|36.610555|-100.0149|         7|       32394|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     5557|        5|         |     4519|        6|         |     5759|        7|         |     4723|        8|         |     4836|        9|         |     4099|       10|         |     3986|       11|         |     4406|       12|         |     3033     
         7|     20122|      |BENNETT UNIT                  | 1     |     6778|          0|APACHE CORPORATION                      |CM|        4|03N|25E|  |  |SE|SE|36.748575|-100.3641|         7|       35455|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |     1139|        7|         |     4292|        8|         |     2436|        9|         |     1155|       10|         |     3882|       11|         |     2541|       12|         |     2353     
         7|     20134|      |BURDITT UNIT                  | 1     |     1691|          0|PETROLEUM INC                           |CM|       30|02N|26E|  |  |SW|SW|36.603504|-100.3055|         7|       39018|         1|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      464|        5|         |     1971|        6|         |     2908|        7|         |     3858|        8|         |     4733|        9|         |     3452|       10|         |     2623|       11|         |     2303|       12|         |     1614     
         7|     20150|      |S J S                         | 1     |    18650|          0|SAND POINT PRODUCTION INC.              |CM|       33|04N|24E|  |  |SE|NW|36.770327|-100.4813|         7|       39234|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      805|        5|         |         |        6|         |     1669|        7|         |     1539|        8|         |     1526|        9|         |     1339|       10|         |     1218|       11|         |     1093|       12|         |     1066     
         7|     20156|      |MOORE UNIT                    | 1     |    16411|          0|J-BREX COMPANY                          |CM|       17|05N|24E|  |  |SW|SE| 36.89417| -100.483|         7|       39822|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |R             |     1641|PANHANDLE EASTERN PIPELINE COMPANY      |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |      498|        6|         |      125|        7|         |      191|        8|         |      252|        9|         |      313|       10|         |      380|       11|         |      373|       12|         |              
         7|     20161|      |CARLISLE                      | 12-10 |     5415|          0|SAMSON RESOURCES COMPANY                |CM|       10|03N|28E|  |  |W2|NE|36.742489|-100.0262|         7|       38188|         0|        0|         |354CSTR |CHESTER                                 |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |     2266|        8|         |     1169|        9|         |     1193|       10|         |     1433|       11|         |     1420|       12|         |     1415     
